Name,Site Status,Site County,Site City,ServiceName,Service Status,Latitude,Longitude,State
Quitman County Hospital_ LLC-2016-06-09T11_30_56.xml,Not Live Due to Termination,Quitman,Marks,"Emergency
Cardiology
Psych NP","Not Live Due to Termination
Not Live Due to Termination
Not Live Due to Termination",,,Mississippi
Quitman County School District,Live,"Quitman


","


",Psych NP,Live,,,Mississippi
Region I Mental Health  - Fairland Center,Live,Tallahatchie,Tutwiler,Addiction,Live,,,Mississippi
Region One Mental Health Center - Clarksdale_ Marks_ Tunica_ Charleston-2016-06-09T15_14_06.xml,Inactive,"Coahoma
Tallahatchie
Tunica
Quitman","Clarksdale
Charleston
Tunica
Marks",Psychiatry ,Inactive,,,Mississippi
Region VI Mental Health Commission DBA Life Health,Live,LeFlore,Greenwood,"TeleMind 
Addiction","Pending Go-Live
Live",,,Mississippi
Region VII Community Counseling Services,Live,Clay,West Point,Addiction,Live,,,Mississippi
Region XII Pine Belt Mental Healthcare Resources,Live,"Greene
Lamar
Perry
Jefferson Davis
Marion
Wayne","Hattiesburg  39401
Purvis 39475
Richton 39476
Prentiss 39474
Columbia 39429
Waynesboro  39367","Psych NP
Addiction","Pending Go-Live
Live",,,Mississippi
River Region Health System,Live,Warren,Vicksburg,"Peds Cardiology
Peds Neurology
Peds Cardiology
Peds Neurology","Live
Live
Live
Live",,,Mississippi
Rivertrust Federal Credit Union ,Live,Rankin,Pearl,Corporate ,Live,,,Mississippi
Rush Foundation Hospital ,Live,Lauderdale,Meridian,"Peds Cardiology
Peds Neurology","Live
Live",,,Mississippi
Scott Regional Hospital ,Live,Scott,Morton,"Peds Neurology
Cardiology
Peds Cardiology
Emergency","Live
Live
Live
Live",,,Mississippi
Select Specialty Hospital - Jackson Inc.,Live,Hinds,Jackson,"Radiology 
Cardiology","Live
Live",,,Mississippi
Sharkey-lssaquena Community Hospital,Live,Sharkey,Rollinf Fork,Emergency,Live,32.904827,-90.88418,Mississippi
Simpson General Hospital,Live,Simpson,Mendenhall,"Cardiology
Emergency
Radiology 
Cardiology
Emergency","Live
Live
Inactive
Live
Live",,,Mississippi
Simpson General Hospital,Live,Simpson,Mendenhall,"Cardiology
Emergency
 
","Live
Live

",,,Mississippi
Singing River Health System,Live,Jackson,Pascagoula,"Peds Cardiology

Peds Neurology","Live

Live",,,Mississippi
South Central Regional Medical Center,Live,"Jones
Jones","Laurel
Laurel","Peds Cardiology
Peds Neurology","Live
Live",,,Mississippi
South Delta High School-2016-06-10T10_43_25.xml,,Sharkey,Rolling Fork,Concussion,Inactive,,,Mississippi
South Mississippi State Hospital - owned by East MS State Hospital,Live,Lamar,Purvis ,"Cardiology
Networking","Live
Live",,,Mississippi
South Sunflower County Hospital,Live,Sunflower,Indianola,Emergency,Live,33.457888,-90.649577,Mississippi
St. Dominic Health Services_ Inc-2016-06-10T11_33_03.xml,Not Live Due to Termination,Hinds,Jackson,Peds Cardiology,,,,Mississippi
Stone County Hospital-2016-06-17T10_14_13.xml,Not Live Due to Termination,Stone,Wiggins,"Radiology 
Stroke ","
",,,Mississippi
Taborian Urgent Care center Project_ Inc. -2016-06-10T11_44_22.xml,Inactive,Bolivar,Mound Bayou,"Education
TeleMind ","Inactive
Inactive",,,Mississippi
Tallahatchie General Hospital (Charleston Clinic),Live,"Tallahatchie
Tallahatchie
Tallahatchie","Charleston
Tutwiler
Charleston","Emergency
Cardiology
Emergency
Cardiology","Live
Live
Live
Live",34.004513,-90.058903,Mississippi
The Office of the Governor-2016-06-16T10_20_00.xml,Not Executed,Hinds,Jackson,Corporate ,Not Executed,,,Mississippi
Tippah County Health Services -2016-06-10T12_06_39.xml,Not Live Due to Termination,Tippah,Ripley,Emergency,Not Live Due to Termination,,,Mississippi
Trace Regional Hospital,Live,Chickasaw,Houston,"Cardiology
Cardiology
Peds Cardiology","Inactive
Live
Live",,,Mississippi
Tyler Holmes Memorial Hospital -2016-06-10T12_13_48.xml,Not Executed,Union,Winona,TeleEducation for medical and nursing professionals,Not Executed,,,Mississippi
UMMC - Childrens of Gulf Coast,Live,Harrison,Biloxi,"Peds Genetics
Peds Urology
Peds Child Safe Center
Peds Psychiatry
Peds Hematology/Oncology
Peds Child Development ","Live
Live
Live
Live
Live
Live",,,Mississippi
UMMC - Children's of Hattiesburg,Live,Forrest,Hattiesburg,"Peds Child Safe Center
Peds Genetics","Live
Live",,,Mississippi
UMMC - Children's of Jackson,,Hinds,Jackson,"Peds Genetics
Peds Child Safe Center","Live
Live",,,Mississippi
UMMC - Children's of McComb,Live,Pike,McComb,Peds Child Safe Center,Live,,,Mississippi
UMMC - Children's of Meridian,Live,Lamar,Meridian,"Peds Child Safe Center
Peds Genetics
Peds Psych
Peds Urology","Live
Live
Live
Live",,,Mississippi
UMMC - Childrens of Tupelo,Live,Lee,Tupelo,"Peds Genetics
Peds Child Development 
Peds Child Safe Center
Peds Psych
Peds Endocrinology
Peds Urology","Live
Live
Live
Live
Live
Live",,,Mississippi
UMMC - Grenada,Live,"Grenada
Grenada","Grenada
Grenada","Peds Cardiology
Radiology 
Dermatology 
eICU
Telemetry
Pathology 
TeleMind 
OB
Transplant
Peds Child Development 
Cardiology
ID 
Pulmonology
Peds Psychiatry","Live
Live
Pending Go-Live
Live
Live
Pending Go-Live
Live
Pending Go-Live
Live
Live


Live
Live",,,Mississippi
UMMC - Grenada Clinic for Women,Live,Grenada,,OB,Live,,,Mississippi
University of Southern Mississippi.xml,Live,"Harrison
Forrest","Long Beach
Hattiesburg","Networking
Networking","Not Live Due to Termination
Live",,,Mississippi
Velma Jackson High School.xml,,Madison,Camden 39045,Concussion,Inactive,,,Mississippi
"Vicksburg Healthcare, LLC.xml",,Warren,Vicksburg,Neonatology,Not Executed,,,Mississippi
Walthall County General Hospital (Forrest General Hospital).xml,,Walthall,Tylertown,Emergency,Not Executed,31.120755,-90.155811,Mississippi
Wayne General Hospital-2016-06-10T12_36_40.xml,Live,Wayne,Waynesboro,"Cardiology
Peds Cardiology
Cardiology
Peds Cardiology","Inactive
Inactive
Live
Live",,,Mississippi
West Lowndes High School-2016-06-10T13_21_57.xml,,Lowndes,Columbus,Concussion,Inactive,,,Mississippi
Wexford Health Sources_ Inc.-2016-06-10T13_27_25.xml,Inactive,,Pittsburgh,ID ,,,,Mississippi
Winston Medical Center ,Live,Winston,Louisville,"
Cardiology","

Live",,,Mississippi
Woman's Hospital - River Oaks East - HMA-2016-06-10T14_12_38.xml,Not Live Due to Termination,Rankin,Flowood,Peds Cardiology,,,,Mississippi
Women's Health Center,Live,Forrest,Hattiesburg,Cardiology,Live,,,Mississippi
Yalobusha  General Hospital,Live,Yalobusha,Water valley,"Peds Cardiology
Cardiology

","Live
Live

",,,Mississippi
Youth Villages,Live,"Madison
Harrison
Leflore
Forrest
Desoto
Lamar
Lee","Ridgeland
Biloxi
Greenwood
Hattiesburg
Hernando
Meridian
Tupelo",Psych NP,Live,,,Mississippi
